0000..001f    ; Cc
0188          ; Ll
0189..018b    ; Lu
018c..018d    ; Ll
018e..0191    ; Lu
0192          ; Ll
0193..0194    ; Lu
0195          ; Ll
0196..0198    ; Lu
0199..019b    ; Ll
019c..019d    ; Lu
019e          ; Ll
019f..01a0    ; Lu
01a1          ; Ll
01a2          ; Lu
01a3          ; Ll
01a4          ; Lu
01a5          ; Ll
01a6..01a7    ; Lu
01a8          ; Ll
01a9          ; Lu
01aa..01ab    ; Ll
01ac          ; Lu
01ad          ; Ll
01ae..01af    ; Lu
01b0          ; Ll
01b1..01b3    ; Lu
01b4          ; Ll
01b5          ; Lu
01b6          ; Ll
01b7..01b8    ; Lu
01b9..01ba    ; Ll
01bb          ; Lo
01bc          ; Lu
01bd..01bf    ; Ll
01c0..01c3    ; Lo
01c4          ; Lu
01c5          ; Lt
01c6          ; Ll
01c7          ; Lu
01c8          ; Lt
01c9          ; Ll
01ca          ; Lu
01cb          ; Lt
01cc          ; Ll
01cd          ; Lu
01ce          ; Ll
01cf          ; Lu
01d0          ; Ll
01d1          ; Lu
01d2          ; Ll
01d3          ; Lu
01d4          ; Ll
01d5          ; Lu
01d6          ; Ll
01d7          ; Lu
01d8          ; Ll
01d9          ; Lu
01da          ; Ll
01db          ; Lu
01dc..01dd    ; Ll
01de          ; Lu
01df          ; Ll
01e0          ; Lu
01e1          ; Ll
01e2          ; Lu
01e3          ; Ll
01e4          ; Lu
01e5          ; Ll
01e6          ; Lu
01e7          ; Ll
01e8          ; Lu
01e9          ; Ll
01ea          ; Lu
01eb          ; Ll
01ec          ; Lu
01ed          ; Ll
01ee          ; Lu
01ef..01f0    ; Ll
01f1          ; Lu
01f2          ; Lt
01f3          ; Ll
01f4          ; Lu
01f5          ; Ll
01f6..01f8    ; Lu
01f9          ; Ll
01fa          ; Lu
01fb          ; Ll
01fc          ; Lu
01fd          ; Ll
01fe          ; Lu
01ff          ; Ll
0200          ; Lu
0201          ; Ll
0202          ; Lu
0203          ; Ll
0204          ; Lu
0205          ; Ll
0206          ; Lu
0207          ; Ll
0208          ; Lu
0209          ; Ll
020a          ; Lu
020b          ; Ll
020c          ; Lu
020d          ; Ll
020e          ; Lu
020f          ; Ll
0210          ; Lu
0211          ; Ll
0212          ; Lu
0213          ; Ll
0214          ; Lu
0215          ; Ll
0216          ; Lu
0217          ; Ll
0218          ; Lu
0219          ; Ll
021a          ; Lu
021b          ; Ll
021c          ; Lu
021d          ; Ll
021e          ; Lu
021f          ; Ll
0220          ; Lu
0221          ; Ll
0222          ; Lu
0223          ; Ll
0224          ; Lu
0225          ; Ll
0226          ; Lu
0227          ; Ll
0228          ; Lu
0229          ; Ll
022a          ; Lu
022b          ; Ll
022c          ; Lu
022d          ; Ll
022e          ; Lu
022f          ; Ll
0230          ; Lu
0231          ; Ll
0232          ; Lu
0233..0239    ; Ll
023a..023b    ; Lu
023c          ; Ll
023d..023e    ; Lu
023f..0240    ; Ll
0241          ; Lu
0242          ; Ll
0243..0246    ; Lu
0247          ; Ll
0248          ; Lu
0249          ; Ll
024a          ; Lu
024b          ; Ll
024c          ; Lu
024d          ; Ll
024e          ; Lu
024f..0293    ; Ll
0294          ; Lo
0295..02af    ; Ll
02b0..02c1    ; Lm
02c2..02c5    ; Sk
02c6..02d1    ; Lm
02d2..02df    ; Sk
02e0..02e4    ; Lm
02e5..02ed    ; Sk
02ee          ; Lm
02ef..02ff    ; Sk
0300..036f    ; Mn
0370..0373    ; Cn
0374..0375    ; Sk
0376..0379    ; Cn
037a          ; Lm
037b..037d    ; Ll
037e          ; Po
037f..0383    ; Cn
0384..0385    ; Sk
0386          ; Lu
0387          ; Po
0388..038a    ; Lu
038b          ; Cn
038c          ; Lu
038d          ; Cn
038e..038f    ; Lu
0390          ; Ll
0391..03a1    ; Lu
03a2          ; Cn
03a3..03ab    ; Lu
03ac..03ce    ; Ll
03cf          ; Cn
03d0..03d1    ; Ll
03d2..03d4    ; Lu
03d5..03d7    ; Ll
03d8          ; Lu
03d9          ; Ll
03da          ; Lu
03db          ; Ll
03dc          ; Lu
03dd          ; Ll
03de          ; Lu
03df          ; Ll
03e0          ; Lu
03e1          ; Ll
03e2          ; Lu
03e3          ; Ll
03e4          ; Lu
03e5          ; Ll
03e6          ; Lu
03e7          ; Ll
03e8          ; Lu
03e9          ; Ll
03ea          ; Lu
03eb          ; Ll
03ec          ; Lu
03ed          ; Ll
03ee          ; Lu
03ef..03f3    ; Ll
03f4          ; Lu
03f5          ; Ll
03f6          ; Sm
03f7          ; Lu
03f8          ; Ll
03f9..03fa    ; Lu
03fb..03fc    ; Ll
03fd..042f    ; Lu
0430..045f    ; Ll
0460          ; Lu
0461          ; Ll
0462          ; Lu
0463          ; Ll
0464          ; Lu
0465          ; Ll
0466          ; Lu
0467          ; Ll
0468          ; Lu
0469          ; Ll
046a          ; Lu
046b          ; Ll
046c          ; Lu
046d          ; Ll
046e          ; Lu
046f          ; Ll
0470          ; Lu
0471          ; Ll
0472          ; Lu
0473          ; Ll
0474          ; Lu
0475          ; Ll
0476          ; Lu
0477          ; Ll
0478          ; Lu
0479          ; Ll
047a          ; Lu
047b          ; Ll
047c          ; Lu
047d          ; Ll
047e          ; Lu
047f          ; Ll
0480          ; Lu
0481          ; Ll
0482          ; So
0483..0486    ; Mn
0487          ; Cn
0488..0489    ; Me
048a          ; Lu
048b          ; Ll
048c          ; Lu
048d          ; Ll
048e          ; Lu
048f          ; Ll
0490          ; Lu
0491          ; Ll
0492          ; Lu
0493          ; Ll
0494          ; Lu
0495          ; Ll
0496          ; Lu
0497          ; Ll
0498          ; Lu
0499          ; Ll
049a          ; Lu
049b          ; Ll
049c          ; Lu
049d          ; Ll
049e          ; Lu
049f          ; Ll
04a0          ; Lu
04a1          ; Ll
04a2          ; Lu
04a3          ; Ll
04a4          ; Lu
04a5          ; Ll
04a6          ; Lu
04a7          ; Ll
04a8          ; Lu
04a9          ; Ll
04aa          ; Lu
04ab          ; Ll
04ac          ; Lu
04ad          ; Ll
04ae          ; Lu
04af          ; Ll
04b0          ; Lu
04b1          ; Ll
04b2          ; Lu
04b3          ; Ll
04b4          ; Lu
04b5          ; Ll
04b6          ; Lu
04b7          ; Ll
04b8          ; Lu
04b9          ; Ll
04ba          ; Lu
04bb          ; Ll
04bc          ; Lu
04bd          ; Ll
04be          ; Lu
04bf          ; Ll
04c0..04c1    ; Lu
04c2          ; Ll
04c3          ; Lu
04c4          ; Ll
04c5          ; Lu
04c6          ; Ll
04c7          ; Lu
04c8          ; Ll
04c9          ; Lu
04ca          ; Ll
04cb          ; Lu
04cc          ; Ll
04cd          ; Lu
04ce..04cf    ; Ll
04d0          ; Lu
04d1          ; Ll
04d2          ; Lu
04d3          ; Ll
04d4          ; Lu
04d5          ; Ll
04d6          ; Lu
04d7          ; Ll
04d8          ; Lu
04d9          ; Ll
04da          ; Lu
04db          ; Ll
04dc          ; Lu
04dd          ; Ll
04de          ; Lu
04df          ; Ll
04e0          ; Lu
04e1          ; Ll
04e2          ; Lu
04e3          ; Ll
04e4          ; Lu
04e5          ; Ll
04e6          ; Lu
04e7          ; Ll
04e8          ; Lu
04e9          ; Ll
04ea          ; Lu
04eb          ; Ll
04ec          ; Lu
04ed          ; Ll
04ee          ; Lu
04ef          ; Ll
04f0          ; Lu
04f1          ; Ll
04f2          ; Lu
04f3          ; Ll
04f4          ; Lu
04f5          ; Ll
04f6          ; Lu
04f7          ; Ll
04f8          ; Lu
04f9          ; Ll
04fa          ; Lu
04fb          ; Ll
04fc          ; Lu
04fd          ; Ll
04fe          ; Lu
04ff          ; Ll
0500          ; Lu
0501          ; Ll
0502          ; Lu
0503          ; Ll
0504          ; Lu
0505          ; Ll
0506          ; Lu
0507          ; Ll
0508          ; Lu
0509          ; Ll
050a          ; Lu
050b          ; Ll
050c          ; Lu
050d          ; Ll
050e          ; Lu
050f          ; Ll
0510          ; Lu
0511          ; Ll
0512          ; Lu
0513          ; Ll
0514..0530    ; Cn
0531..0556    ; Lu
0557..0558    ; Cn
0559          ; Lm
055a..055f    ; Po
0560          ; Cn
0561..0587    ; Ll
0588          ; Cn
0589          ; Po
058a          ; Pd
058b..0590    ; Cn
0591..05bd    ; Mn
05be          ; Po
05bf          ; Mn
05c0          ; Po
05c1..05c2    ; Mn
05c3          ; Po
05c4..05c5    ; Mn
05c6          ; Po
05c7          ; Mn
05c8..05cf    ; Cn
05d0..05ea    ; Lo
05eb..05ef    ; Cn
05f0..05f2    ; Lo
05f3..05f4    ; Po
05f5..05ff    ; Cn
0600..0603    ; Cf
0604..060a    ; Cn
060b          ; Sc
060c..060d    ; Po
060e..060f    ; So
0610..0615    ; Mn
0616..061a    ; Cn
061b          ; Po
061c..061d    ; Cn
061e..061f    ; Po
0620          ; Cn
0621..063a    ; Lo
063b..063f    ; Cn
0640          ; Lm
0641..064a    ; Lo
064b..065e    ; Mn
065f          ; Cn
0660..0669    ; Nd
066a..066d    ; Po
066e..066f    ; Lo
0670          ; Mn
0671..06d3    ; Lo
06d4          ; Po
06d5          ; Lo
06d6..06dc    ; Mn
06dd          ; Cf
06de          ; Me
06df..06e4    ; Mn
06e5..06e6    ; Lm
06e7..06e8    ; Mn
06e9          ; So
06ea..06ed    ; Mn
06ee..06ef    ; Lo
06f0..06f9    ; Nd
06fa..06fc    ; Lo
06fd..06fe    ; So
06ff          ; Lo
0700..070d    ; Po
070e          ; Cn
070f          ; Cf
0710          ; Lo
0711          ; Mn
0712..072f    ; Lo
0730..074a    ; Mn
074b..074c    ; Cn
074d..076d    ; Lo
076e..077f    ; Cn
0780..07a5    ; Lo
07a6..07b0    ; Mn
07b1          ; Lo
07b2..07bf    ; Cn
07c0..07c9    ; Nd
07ca..07ea    ; Lo
07eb..07f3    ; Mn
07f4..07f5    ; Lm
07f6          ; So
07f7..07f9    ; Po
07fa          ; Lm
07fb..0900    ; Cn
0901..0902    ; Mn
0903          ; Mc
0904..0939    ; Lo
093a..093b    ; Cn
093c          ; Mn
093d          ; Lo
093e..0940    ; Mc
0941..0948    ; Mn
0949..094c    ; Mc
094d          ; Mn
094e..094f    ; Cn
0950          ; Lo
0951..0954    ; Mn
0955..0957    ; Cn
0958..0961    ; Lo
0962..0963    ; Mn
0964..0965    ; Po
0966..096f    ; Nd
0970          ; Po
0971..097a    ; Cn
097b..097f    ; Lo
0980          ; Cn
0981          ; Mn
0982..0983    ; Mc
0984          ; Cn
0985..098c    ; Lo
098d..098e    ; Cn
098f..0990    ; Lo
0991..0992    ; Cn
0993..09a8    ; Lo
09a9          ; Cn
09aa..09b0    ; Lo
09b1          ; Cn
09b2          ; Lo
09b3..09b5    ; Cn
09b6..09b9    ; Lo
09ba..09bb    ; Cn
09bc          ; Mn
09bd          ; Lo
09be..09c0    ; Mc
09c1..09c4    ; Mn
09c5..09c6    ; Cn
09c7..09c8    ; Mc
09c9..09ca    ; Cn
09cb..09cc    ; Mc
09cd          ; Mn
09ce          ; Lo
09cf..09d6    ; Cn
09d7          ; Mc
09d8..09db    ; Cn
09dc..09dd    ; Lo
09de          ; Cn
09df..09e1    ; Lo
09e2..09e3    ; Mn
09e4..09e5    ; Cn
09e6..09ef    ; Nd
09f0..09f1    ; Lo
09f2..09f3    ; Sc
09f4..09f9    ; No
09fa          ; So
09fb..0a00    ; Cn
0a01..0a02    ; Mn
0a03          ; Mc
0a04          ; Cn
0a05..0a0a    ; Lo
0a0b..0a0e    ; Cn
0a0f..0a10    ; Lo
0a11..0a12    ; Cn
0a13..0a28    ; Lo
0a29          ; Cn
0a2a..0a30    ; Lo
0a31          ; Cn
0a32..0a33    ; Lo
0a34          ; Cn
0a35..0a36    ; Lo
0a37          ; Cn
0a38..0a39    ; Lo
0a3a..0a3b    ; Cn
0a3c          ; Mn
0a3d          ; Cn
0a3e..0a40    ; Mc
0a41..0a42    ; Mn
0a43..0a46    ; Cn
0a47..0a48    ; Mn
0a49..0a4a    ; Cn
0a4b..0a4d    ; Mn
0a4e..0a58    ; Cn
0a59..0a5c    ; Lo
0a5d          ; Cn
0a5e          ; Lo
0a5f..0a65    ; Cn
0a66..0a6f    ; Nd
0a70..0a71    ; Mn
0a72..0a74    ; Lo
0a75..0a80    ; Cn
0a81..0a82    ; Mn
0a83          ; Mc
0a84          ; Cn
0a85..0a8d    ; Lo
0a8e          ; Cn
0a8f..0a91    ; Lo
0a92          ; Cn
0a93..0aa8    ; Lo
0aa9          ; Cn
0aaa..0ab0    ; Lo
0ab1          ; Cn
0ab2..0ab3    ; Lo
0ab4          ; Cn
0ab5..0ab9    ; Lo
0aba..0abb    ; Cn
0abc          ; Mn
0abd          ; Lo
0abe..0ac0    ; Mc
0ac1..0ac5    ; Mn
0ac6          ; Cn
0ac7..0ac8    ; Mn
0ac9          ; Mc
0aca          ; Cn
0acb..0acc    ; Mc
0acd          ; Mn
0ace..0acf    ; Cn
0ad0          ; Lo
0ad1..0adf    ; Cn
0ae0..0ae1    ; Lo
0ae2..0ae3    ; Mn
0ae4..0ae5    ; Cn
0ae6..0aef    ; Nd
0af0          ; Cn
0af1          ; Sc
0af2..0b00    ; Cn
0b01          ; Mn
0b02..0b03    ; Mc
0b04          ; Cn
0b05..0b0c    ; Lo
0b0d..0b0e    ; Cn
0b0f..0b10    ; Lo
0b11..0b12    ; Cn
0b13..0b28    ; Lo
0b29          ; Cn
0b2a..0b30    ; Lo
0b31          ; Cn
0b32..0b33    ; Lo
0b34          ; Cn
0b35..0b39    ; Lo
0b3a..0b3b    ; Cn
0b3c          ; Mn
0b3d          ; Lo
0b3e          ; Mc
0b3f          ; Mn
0b40          ; Mc
0b41..0b43    ; Mn
0b44..0b46    ; Cn
0b47..0b48    ; Mc
0b49..0b4a    ; Cn
0b4b..0b4c    ; Mc
0b4d          ; Mn
0b4e..0b55    ; Cn
0b56          ; Mn
0b57          ; Mc
0b58..0b5b    ; Cn
0b5c..0b5d    ; Lo
0b5e          ; Cn
0b5f..0b61    ; Lo
0b62..0b65    ; Cn
0b66..0b6f    ; Nd
0b70          ; So
0b71          ; Lo
0b72..0b81    ; Cn
0b82          ; Mn
0b83          ; Lo
0b84          ; Cn
0b85..0b8a    ; Lo
0b8b..0b8d    ; Cn
0b8e..0b90    ; Lo
0b91          ; Cn
0b92..0b95    ; Lo
0b96..0b98    ; Cn
0b99..0b9a    ; Lo
0b9b          ; Cn
0b9c          ; Lo
0b9d          ; Cn
0b9e..0b9f    ; Lo
0ba0..0ba2    ; Cn
0ba3..0ba4    ; Lo
0ba5..0ba7    ; Cn
0ba8..0baa    ; Lo
0bab..0bad    ; Cn
0bae..0bb9    ; Lo
0bba..0bbd    ; Cn
0bbe..0bbf    ; Mc
0bc0          ; Mn
0bc1..0bc2    ; Mc
0bc3..0bc5    ; Cn
0bc6..0bc8    ; Mc
0bc9          ; Cn
0bca..0bcc    ; Mc
0bcd          ; Mn
0bce..0bd6    ; Cn
0bd7          ; Mc
0bd8..0be5    ; Cn
0be6..0bef    ; Nd
0bf0..0bf2    ; No
0bf3..0bf8    ; So
0bf9          ; Sc
0bfa          ; So
0bfb..0c00    ; Cn
0c01..0c03    ; Mc
0c04          ; Cn
0c05..0c0c    ; Lo
0c0d          ; Cn
0c0e..0c10    ; Lo
0c11          ; Cn
0c12..0c28    ; Lo
0c29          ; Cn
0c2a..0c33    ; Lo
0c34          ; Cn
0c35..0c39    ; Lo
0c3a..0c3d    ; Cn
0c3e..0c40    ; Mn
0c41..0c44    ; Mc
0c45          ; Cn
0c46..0c48    ; Mn
0c49          ; Cn
0c4a..0c4d    ; Mn
0c4e..0c54    ; Cn
0c55..0c56    ; Mn
0c57..0c5f    ; Cn
0c60..0c61    ; Lo
0c62..0c65    ; Cn
0c66..0c6f    ; Nd
0c70..0c81    ; Cn
0c82..0c83    ; Mc
0c84          ; Cn
0c85..0c8c    ; Lo
0c8d          ; Cn
0c8e..0c90    ; Lo
0c91          ; Cn
0c92..0ca8    ; Lo
0ca9          ; Cn
0caa..0cb3    ; Lo
0cb4          ; Cn
0cb5..0cb9    ; Lo
0cba..0cbb    ; Cn
0cbc          ; Mn
0cbd          ; Lo
0cbe          ; Mc
0cbf          ; Mn
0cc0..0cc4    ; Mc
0cc5          ; Cn
0cc6          ; Mn
0cc7..0cc8    ; Mc
0cc9          ; Cn
0cca..0ccb    ; Mc
0ccc..0ccd    ; Mn
0cce..0cd4    ; Cn
0cd5..0cd6    ; Mc
0cd7..0cdd    ; Cn
0cde          ; Lo
0cdf          ; Cn
0ce0..0ce1    ; Lo
0ce2..0ce3    ; Mn
0ce4..0ce5    ; Cn
0ce6..0cef    ; Nd
0cf0          ; Cn
0cf1..0cf2    ; So
0cf3..0d01    ; Cn
0d02..0d03    ; Mc
0d04          ; Cn
0d05..0d0c    ; Lo
0d0d          ; Cn
0d0e..0d10    ; Lo
0d11          ; Cn
0d12..0d28    ; Lo
0d29          ; Cn
0d2a..0d39    ; Lo
0d3a..0d3d    ; Cn
0d3e..0d40    ; Mc
0d41..0d43    ; Mn
0d44..0d45    ; Cn
0d46..0d48    ; Mc
0d49          ; Cn
0d4a..0d4c    ; Mc
0d4d          ; Mn
0d4e..0d56    ; Cn
0d57          ; Mc
0d58..0d5f    ; Cn
0d60..0d61    ; Lo
0d62..0d65    ; Cn
0d66..0d6f    ; Nd
0d70..0d81    ; Cn
0d82..0d83    ; Mc
0d84          ; Cn
0d85..0d96    ; Lo
0d97..0d99    ; Cn
0d9a..0db1    ; Lo
0db2          ; Cn
0db3..0dbb    ; Lo
0dbc          ; Cn
0dbd          ; Lo
0dbe..0dbf    ; Cn
0dc0..0dc6    ; Lo
0dc7..0dc9    ; Cn
0dca          ; Mn
0dcb..0dce    ; Cn
0dcf..0dd1    ; Mc
0dd2..0dd4    ; Mn
0dd5          ; Cn
0dd6          ; Mn
0dd7          ; Cn
0dd8..0ddf    ; Mc
0de0..0df1    ; Cn
0df2..0df3    ; Mc
0df4          ; Po
0df5..0e00    ; Cn
0e01..0e30    ; Lo
0e31          ; Mn
0e32..0e33    ; Lo
0e34..0e3a    ; Mn
0e3b..0e3e    ; Cn
0e3f          ; Sc
0e40..0e45    ; Lo
0e46          ; Lm
0e47..0e4e    ; Mn
0e4f          ; Po
0e50..0e59    ; Nd
0e5a..0e5b    ; Po
0e5c..0e80    ; Cn
0e81..0e82    ; Lo
0e83          ; Cn
0e84          ; Lo
0e85..0e86    ; Cn
0e87..0e88    ; Lo
0e89          ; Cn
0e8a          ; Lo
0e8b..0e8c    ; Cn
0e8d          ; Lo
0e8e..0e93    ; Cn
0e94..0e97    ; Lo
0e98          ; Cn
0e99..0e9f    ; Lo
0ea0          ; Cn
0ea1..0ea3    ; Lo
0ea4          ; Cn
0ea5          ; Lo
0ea6          ; Cn
0ea7          ; Lo
0ea8..0ea9    ; Cn
0eaa..0eab    ; Lo
0eac          ; Cn
0ead..0eb0    ; Lo
0eb1          ; Mn
0eb2..0eb3    ; Lo
0eb4..0eb9    ; Mn
0eba          ; Cn
0ebb..0ebc    ; Mn
0ebd          ; Lo
0ebe..0ebf    ; Cn
0ec0..0ec4    ; Lo
0ec5          ; Cn
0ec6          ; Lm
0ec7          ; Cn
0ec8..0ecd    ; Mn
0ece..0ecf    ; Cn
0ed0..0ed9    ; Nd
0eda..0edb    ; Cn
0edc..0edd    ; Lo
0ede..0eff    ; Cn
0f00          ; Lo
0f01..0f03    ; So
0f04..0f12    ; Po
0f13..0f17    ; So
0f18..0f19    ; Mn
0f1a..0f1f    ; So
0f20..0f29    ; Nd
0f2a..0f33    ; No
0f34          ; So
0f35          ; Mn
0f36          ; So
0f37          ; Mn
0f38          ; So
0f39          ; Mn
0f3a          ; Ps
0f3b          ; Pe
0f3c          ; Ps
0f3d          ; Pe
0f3e..0f3f    ; Mc
0f40..0f47    ; Lo
0f48          ; Cn
0f49..0f6a    ; Lo
0f6b..0f70    ; Cn
0f71..0f7e    ; Mn
0f7f          ; Mc
0f80..0f84    ; Mn
0f85          ; Po
0f86..0f87    ; Mn
0f88..0f8b    ; Lo
0f8c..0f8f    ; Cn
0f90..0f97    ; Mn
0f98          ; Cn
0f99..0fbc    ; Mn
0fbd          ; Cn
0fbe..0fc5    ; So
0fc6          ; Mn
0fc7..0fcc    ; So
0fcd..0fce    ; Cn
0fcf          ; So
0fd0..0fd1    ; Po
0fd2..0fff    ; Cn
1000..1021    ; Lo
1022          ; Cn
1023..1027    ; Lo
1028          ; Cn
1029..102a    ; Lo
102b          ; Cn
102c          ; Mc
102d..1030    ; Mn
1031          ; Mc
1032          ; Mn
1033..1035    ; Cn
1036..1037    ; Mn
1038          ; Mc
1039          ; Mn
103a..103f    ; Cn
1040..1049    ; Nd
104a..104f    ; Po
1050..1055    ; Lo
1056..1057    ; Mc
1058..1059    ; Mn
105a..109f    ; Cn
10a0..10c5    ; Lu
10c6..10cf    ; Cn
10d0..10fa    ; Lo
10fb          ; Po
10fc          ; Lm
10fd..10ff    ; Cn
1100..1159    ; Lo
115a..115e    ; Cn
115f..11a2    ; Lo
11a3..11a7    ; Cn
11a8..11f9    ; Lo
11fa..11ff    ; Cn
1200..1248    ; Lo
1249          ; Cn
124a..124d    ; Lo
124e..124f    ; Cn
1250..1256    ; Lo
1257          ; Cn
1258          ; Lo
1259          ; Cn
125a..125d    ; Lo
125e..125f    ; Cn
1260..1288    ; Lo
1289          ; Cn
128a..128d    ; Lo
128e..128f    ; Cn
1290..12b0    ; Lo
12b1          ; Cn
12b2..12b5    ; Lo
12b6..12b7    ; Cn
12b8..12be    ; Lo
12bf          ; Cn
12c0          ; Lo
12c1          ; Cn
12c2..12c5    ; Lo
12c6..12c7    ; Cn
12c8..12d6    ; Lo
12d7          ; Cn
12d8..1310    ; Lo
1311          ; Cn
1312..1315    ; Lo
1316..1317    ; Cn
1318..135a    ; Lo
135b..135e    ; Cn
135f          ; Mn
1360          ; So
1361..1368    ; Po
1369..137c    ; No
137d..137f    ; Cn
1380..138f    ; Lo
1390..1399    ; So
139a..139f    ; Cn
13a0..13f4    ; Lo
13f5..1400    ; Cn
1401..166c    ; Lo
166d..166e    ; Po
166f..1676    ; Lo
1677..167f    ; Cn
1680          ; Zs
1681..169a    ; Lo
169b          ; Ps
169c          ; Pe
169d..169f    ; Cn
16a0..16ea    ; Lo
16eb..16ed    ; Po
16ee..16f0    ; Nl
16f1..16ff    ; Cn
1700..170c    ; Lo
170d          ; Cn
170e..1711    ; Lo
1712..1714    ; Mn
1715..171f    ; Cn
1720..1731    ; Lo
1732..1734    ; Mn
1735..1736    ; Po
1737..173f    ; Cn
1740..1751    ; Lo
1752..1753    ; Mn
1754..175f    ; Cn
1760..176c    ; Lo
176d          ; Cn
176e..1770    ; Lo
1771          ; Cn
1772..1773    ; Mn
1774..177f    ; Cn
1780..17b3    ; Lo
17b4..17b5    ; Cf
17b6          ; Mc
17b7..17bd    ; Mn
17be..17c5    ; Mc
17c6          ; Mn
17c7..17c8    ; Mc
17c9..17d3    ; Mn
17d4..17d6    ; Po
17d7          ; Lm
17d8..17da    ; Po
17db          ; Sc
17dc          ; Lo
17dd          ; Mn
17de..17df    ; Cn
17e0..17e9    ; Nd
17ea..17ef    ; Cn
17f0..17f9    ; No
17fa..17ff    ; Cn
1800..1805    ; Po
1806          ; Pd
1807..180a    ; Po
180b..180d    ; Mn
180e          ; Zs
180f          ; Cn
1810..1819    ; Nd
181a..181f    ; Cn
1820..1842    ; Lo
1843          ; Lm
1844..1877    ; Lo
1878..187f    ; Cn
1880..18a8    ; Lo
18a9          ; Mn
18aa..18ff    ; Cn
1900..191c    ; Lo
191d..191f    ; Cn
1920..1922    ; Mn
1923..1926    ; Mc
1927..1928    ; Mn
1929..192b    ; Mc
192c..192f    ; Cn
1930..1931    ; Mc
1932          ; Mn
1933..1938    ; Mc
1939..193b    ; Mn
193c..193f    ; Cn
1940          ; So
1941..1943    ; Cn
1944..1945    ; Po
1946..194f    ; Nd
1950..196d    ; Lo
196e..196f    ; Cn
1970..1974    ; Lo
1975..197f    ; Cn
1980..19a9    ; Lo
19aa..19af    ; Cn
19b0..19c0    ; Mc
19c1..19c7    ; Lo
19c8..19c9    ; Mc
19ca..19cf    ; Cn
19d0..19d9    ; Nd
